,name,region,X,Y
157,Ledaig Un-Peated 23 Year Old (That Boutique-y Whisky Company),Island Whisky,-0.5408045320055113,0.2653429862310931
158,Royal Brackla 12 Year Old Oloroso Sherry Cask Finish,Speyside Whisky,-0.23859380294059093,-0.6009058316229264
160,Deanston Virgin Oak,Highland Whisky,0.2137157924590047,0.04043677390287279
161,Auchentoshan 12 Year Old,Lowland Whisky,0.1788009229192598,-0.15051147762618697
162,Bladnoch Vinaya,Lowland Whisky,-0.1799639399985145,-0.08336772721449581
163,Glen Moray Elgin Classic,Speyside Whisky,0.2568929815242571,0.03291423321656384
164,Glen Garioch 1999 Wine Cask Matured (bottled 2018),Highland Whisky,-0.550918831764597,-0.46047457839849315
165,BenRiach 9 Year Old (That Boutique-y Whisky Company),Speyside Whisky,-0.7089361645186345,-0.20383383300481403
166,Glenmorangie 12 Year Old Malaga Cask Finish,Highland Whisky,-0.6119987653598873,-0.5118453793669215
167,Beinn Dubh The Black,Speyside Whisky,0.04597209376994005,-0.5249139356770703
168,Singleton of Dufftown 18 Year Old,Speyside Whisky,0.6797449327282846,-0.4021985888367214
169,Glen Ord 13 Year Old 2007 (casks 312732 & 312733) - Un-Chillfiltered Collection (Signatory),Highland Whisky,-0.13968367154153588,-0.28695471123674
170,Bunnahabhain An Cladach,Islay Whisky,-0.02104585884257877,-0.5480506694391756
171,Edradour Ballechin 10 Year Old,Highland Whisky,0.1533036363650354,0.6609904271607762
172,Cragganmore 2007 (bottled 2019) Port Wood Finish - Distillers Edition,Speyside Whisky,-0.42046402195897226,-0.07955319543327413
173,Glen Moray 16 Year Old 2005 Tokaji Finish - Warehouse 1,Speyside Whisky,-0.09650095882316712,-0.2809780956580917
174,Bladnoch 14 Year Old (2021 Release),Lowland Whisky,-0.47731872850199775,-0.4191510152377738
175,Octomore 12.1 5 Year Old,Islay Whisky,-0.8285037099514179,0.8089234747289993
177,Cardhu 15 Year Old,Speyside Whisky,0.13461312286256855,-0.32095535570135075
